incident_id,district,police_division,crime_type,date,day_of_week,is_holiday,time_bracket,location_type,lighting_level,victim_gender,victim_age_bracket,prior_offenses,offender_drug_history,reported_2015_total,solved_2015_total,cleared_rate_pct,reported_status,referral_source
2018-GAL-2145,Galle,Karapitiya,Statutory Rape,1/30/2018,Monday,No,Afternoon,Residential,Well-lit,Female,Under 16,0,No,1250,1150,92,Solved,NGO
2018-JAF-2146,Jaffna,Kayts,House Breaking,3/30/2018,Thursday,No,Night,Residential,Dark,Male,45-60,1,No,9012,2973,33,Solved,Police
2018-KUR-2147,Kurunegala,Wariyapola,Drug Offences (Cannabis),5/12/2018,Friday,No,Morning,Agricultural,Well-lit,Male,20-29,3,Yes,42560,40000,94,Solved,Police
2018-RAT-2148,Ratnapura,Pelmadulla,Robbery,7/15/2018,Saturday,No,Night,Residential,Dark,Male,35-45,2,No,3241,2170,67,Solved,Police
2018-ANU-2149,Anuradhapura,Tambuttegama,Homicide,9/1/2018,Friday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-BAT-2150,Batticaloa,Kattankudy,Cheating/BCT,11/20/2018,Monday,No,Morning,Commercial,Well-lit,Male,60+,1,No,2510,1630,65,Solved,Self-Reported
2018-MAT-2151,Matara,Akuressa,House Breaking,1/25/2018,Wednesday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Under Investigation,Police
2018-BAD-2152,Badulla,Bandarawela,Property Theft,3/20/2018,Monday,No,Afternoon,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-PUT-2153,Puttalam,Kalpitiya,Drug Offences (Heroin),5/15/2018,Monday,No,Afternoon,Coastal Area,Well-lit,Male,18-24,2,Yes,28450,27000,95,Solved,Police
2018-TRI-2154,Trincomalee,Mutur,Grievous Hurt,7/20/2018,Thursday,No,Evening,Public Space,Poorly-lit,Male,30-34,1,No,1310,1205,92,Solved,Hospital
2018-COL-2155,Colombo,Grandpass,Homicide,9/14/2018,Thursday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-GAM-2156,Gampaha,Minuwangoda,House Breaking,11/5/2018,Sunday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Solved,Police
2018-KAN-2115,Kandy,Digana,Property Theft,1/10/2018,Tuesday,No,Morning,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-KAL-2158,Kalutara,Matugama,Robbery,3/22/2018,Wednesday,No,Evening,Commercial,Well-lit,Male,25-35,2,No,3241,2170,67,Solved,Police
2018-GAL-2159,Galle,Karapitiya,Drug Offences (Heroin),5/12/2018,Friday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,3,Yes,28450,27000,95,Solved,Police
2018-JAF-2160,Jaffna,Kayts,Statutory Rape,7/15/2018,Saturday,No,Afternoon,Residential,Well-lit,Female,Under 16,0,No,1250,1150,92,Solved,NGO
2018-KUR-2161,Kurunegala,Wariyapola,House Breaking,9/1/2018,Friday,No,Night,Residential,Dark,Male,45-60,1,No,9012,2973,33,Solved,Police
2018-RAT-2162,Ratnapura,Pelmadulla,Drug Offences (Cannabis),11/20/2018,Monday,No,Morning,Agricultural,Well-lit,Male,20-29,3,Yes,42560,40000,94,Solved,Police
2018-ANU-2163,Anuradhapura,Tambuttegama,Robbery,1/25/2018,Wednesday,No,Night,Residential,Dark,Male,35-45,2,No,3241,2170,67,Solved,Police
2018-BAT-2164,Batticaloa,Kattankudy,Homicide,3/20/2018,Monday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-MAT-2165,Matara,Akuressa,Cheating/BCT,5/15/2018,Monday,No,Morning,Commercial,Well-lit,Male,60+,1,No,2510,1630,65,Solved,Self-Reported
2018-BAD-2166,Badulla,Bandarawela,House Breaking,7/20/2018,Thursday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Under Investigation,Police
2018-PUT-2167,Puttalam,Kalpitiya,Property Theft,9/14/2018,Thursday,No,Afternoon,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-TRI-2168,Trincomalee,Mutur,Drug Offences (Heroin),11/5/2018,Sunday,No,Afternoon,Coastal Area,Well-lit,Male,18-24,2,Yes,28450,27000,95,Solved,Police
2018-COL-2169,Colombo,Grandpass,Grievous Hurt,1/25/2018,Wednesday,No,Evening,Public Space,Poorly-lit,Male,30-34,1,No,1310,1205,92,Solved,Hospital
2018-GAM-2170,Gampaha,Minuwangoda,Homicide,3/20/2018,Monday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-KAN-2171,Kandy,Digana,House Breaking,5/15/2018,Monday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Solved,Police
2018-KAL-2172,Kalutara,Matugama,Property Theft,7/20/2018,Thursday,No,Morning,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-GAL-2173,Galle,Karapitiya,Robbery,9/14/2018,Thursday,No,Evening,Commercial,Well-lit,Male,25-35,2,No,3241,2170,67,Solved,Police
2018-JAF-2174,Jaffna,Kayts,Drug Offences (Heroin),11/5/2018,Sunday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,3,Yes,28450,27000,95,Solved,Police
2018-KUR-2175,Kurunegala,Wariyapola,Statutory Rape,1/30/2018,Monday,No,Afternoon,Residential,Well-lit,Female,Under 16,0,No,1250,1150,92,Solved,NGO
2018-RAT-2176,Ratnapura,Pelmadulla,House Breaking,3/30/2018,Thursday,No,Night,Residential,Dark,Male,45-60,1,No,9012,2973,33,Solved,Police
2018-ANU-2177,Anuradhapura,Tambuttegama,Drug Offences (Cannabis),5/12/2018,Friday,No,Morning,Agricultural,Well-lit,Male,20-29,3,Yes,42560,40000,94,Solved,Police
2018-BAT-2178,Batticaloa,Kattankudy,Robbery,7/15/2018,Saturday,No,Night,Residential,Dark,Male,35-45,2,No,3241,2170,67,Solved,Police
2018-MAT-2179,Matara,Akuressa,Homicide,9/1/2018,Friday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-BAD-2180,Badulla,Bandarawela,Cheating/BCT,11/20/2018,Monday,No,Morning,Commercial,Well-lit,Male,60+,1,No,2510,1630,65,Solved,Self-Reported
2018-PUT-2181,Puttalam,Kalpitiya,House Breaking,1/25/2018,Wednesday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Under Investigation,Police
2018-TRI-2182,Trincomalee,Mutur,Property Theft,3/20/2018,Monday,No,Afternoon,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-COL-2183,Colombo,Grandpass,Drug Offences (Heroin),5/15/2018,Monday,No,Afternoon,Coastal Area,Well-lit,Male,18-24,2,Yes,28450,27000,95,Solved,Police
2018-GAM-2184,Gampaha,Minuwangoda,Grievous Hurt,7/20/2018,Thursday,No,Evening,Public Space,Poorly-lit,Male,30-34,1,No,1310,1205,92,Solved,Hospital
2018-KAN-2185,Kandy,Digana,Homicide,9/14/2018,Thursday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-KAL-2186,Kalutara,Matugama,House Breaking,11/5/2018,Sunday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Solved,Police
2018-GAL-2187,Galle,Karapitiya,Property Theft,1/10/2018,Tuesday,No,Morning,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-JAF-2188,Jaffna,Kayts,Robbery,3/22/2018,Wednesday,No,Evening,Commercial,Well-lit,Male,25-35,2,No,3241,2170,67,Solved,Police
2018-KUR-2189,Kurunegala,Wariyapola,Drug Offences (Heroin),5/12/2018,Friday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,3,Yes,28450,27000,95,Solved,Police
2018-RAT-2190,Ratnapura,Pelmadulla,Statutory Rape,7/15/2018,Saturday,No,Afternoon,Residential,Well-lit,Female,Under 16,0,No,1250,1150,92,Solved,NGO
2018-ANU-2191,Anuradhapura,Tambuttegama,House Breaking,9/1/2018,Friday,No,Night,Residential,Dark,Male,45-60,1,No,9012,2973,33,Solved,Police
2018-BAT-2192,Batticaloa,Kattankudy,Drug Offences (Cannabis),11/20/2018,Monday,No,Morning,Agricultural,Well-lit,Male,20-29,3,Yes,42560,40000,94,Solved,Police
2018-MAT-2193,Matara,Akuressa,Robbery,1/25/2018,Wednesday,No,Night,Residential,Dark,Male,35-45,2,No,3241,2170,67,Solved,Police
2018-BAD-2194,Badulla,Bandarawela,Homicide,3/20/2018,Monday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-PUT-2195,Puttalam,Kalpitiya,Cheating/BCT,5/15/2018,Monday,No,Morning,Commercial,Well-lit,Male,60+,1,No,2510,1630,65,Solved,Self-Reported
2018-TRI-2196,Trincomalee,Mutur,House Breaking,7/20/2018,Thursday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Under Investigation,Police
2018-COL-2197,Colombo,Grandpass,Property Theft,9/14/2018,Thursday,No,Afternoon,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-GAM-2198,Gampaha,Minuwangoda,Drug Offences (Heroin),11/5/2018,Sunday,No,Afternoon,Coastal Area,Well-lit,Male,18-24,2,Yes,28450,27000,95,Solved,Police
2018-KAN-2199,Kandy,Digana,Grievous Hurt,1/25/2018,Wednesday,No,Evening,Public Space,Poorly-lit,Male,30-34,1,No,1310,1205,92,Solved,Hospital
2018-KAL-2200,Kalutara,Matugama,Homicide,3/20/2018,Monday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-GAL-2201,Galle,Karapitiya,House Breaking,5/15/2018,Monday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Solved,Police
2018-JAF-2202,Jaffna,Kayts,Property Theft,7/20/2018,Thursday,No,Morning,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-KUR-2203,Kurunegala,Wariyapola,Robbery,9/14/2018,Thursday,No,Evening,Commercial,Well-lit,Male,25-35,2,No,3241,2170,67,Solved,Police
2018-RAT-2204,Ratnapura,Pelmadulla,Drug Offences (Heroin),11/5/2018,Sunday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,3,Yes,28450,27000,95,Solved,Police
2018-ANU-2205,Anuradhapura,Tambuttegama,Statutory Rape,1/30/2018,Monday,No,Afternoon,Residential,Well-lit,Female,Under 16,0,No,1250,1150,92,Solved,NGO
2018-BAT-2206,Batticaloa,Kattankudy,House Breaking,3/30/2018,Thursday,No,Night,Residential,Dark,Male,45-60,1,No,9012,2973,33,Solved,Police
2018-MAT-2207,Matara,Akuressa,Drug Offences (Cannabis),5/12/2018,Friday,No,Morning,Agricultural,Well-lit,Male,20-29,3,Yes,42560,40000,94,Solved,Police
2018-BAD-2208,Badulla,Bandarawela,Robbery,7/15/2018,Saturday,No,Night,Residential,Dark,Male,35-45,2,No,3241,2170,67,Solved,Police
2018-PUT-2209,Puttalam,Kalpitiya,Homicide,9/1/2018,Friday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-TRI-2210,Trincomalee,Mutur,Cheating/BCT,11/20/2018,Monday,No,Morning,Commercial,Well-lit,Male,60+,1,No,2510,1630,65,Solved,Self-Reported
2018-COL-2211,Colombo,Grandpass,House Breaking,1/25/2018,Wednesday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Under Investigation,Police
2018-GAM-2212,Gampaha,Minuwangoda,Property Theft,3/20/2018,Monday,No,Afternoon,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-KAN-2213,Kandy,Digana,Drug Offences (Heroin),5/15/2018,Monday,No,Afternoon,Coastal Area,Well-lit,Male,18-24,2,Yes,28450,27000,95,Solved,Police
2018-KAL-2214,Kalutara,Matugama,Grievous Hurt,7/20/2018,Thursday,No,Evening,Public Space,Poorly-lit,Male,30-34,1,No,1310,1205,92,Solved,Hospital
2018-GAL-2215,Galle,Karapitiya,Homicide,9/14/2018,Thursday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-JAF-2216,Jaffna,Kayts,House Breaking,11/5/2018,Sunday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Solved,Police
2018-KUR-2217,Kurunegala,Wariyapola,Property Theft,1/10/2018,Tuesday,No,Morning,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-RAT-2218,Ratnapura,Pelmadulla,Robbery,3/22/2018,Wednesday,No,Evening,Commercial,Well-lit,Male,25-35,2,No,3241,2170,67,Solved,Police
2018-ANU-2219,Anuradhapura,Tambuttegama,Drug Offences (Heroin),5/12/2018,Friday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,3,Yes,28450,27000,95,Solved,Police
2018-BAT-2220,Batticaloa,Kattankudy,Statutory Rape,7/15/2018,Saturday,No,Afternoon,Residential,Well-lit,Female,Under 16,0,No,1250,1150,92,Solved,NGO
2018-MAT-2221,Matara,Akuressa,House Breaking,9/1/2018,Friday,No,Night,Residential,Dark,Male,45-60,1,No,9012,2973,33,Solved,Police
2018-BAD-2222,Badulla,Bandarawela,Drug Offences (Cannabis),11/20/2018,Monday,No,Morning,Agricultural,Well-lit,Male,20-29,3,Yes,42560,40000,94,Solved,Police
2018-PUT-2223,Puttalam,Kalpitiya,Robbery,1/25/2018,Wednesday,No,Night,Residential,Dark,Male,35-45,2,No,3241,2170,67,Solved,Police
2018-TRI-2224,Trincomalee,Mutur,Homicide,3/20/2018,Monday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-COL-2225,Colombo,Grandpass,Cheating/BCT,5/15/2018,Monday,No,Morning,Commercial,Well-lit,Male,60+,1,No,2510,1630,65,Solved,Self-Reported
2018-GAM-2226,Gampaha,Minuwangoda,House Breaking,7/20/2018,Thursday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Under Investigation,Police
2018-KAN-2227,Kandy,Digana,Property Theft,9/14/2018,Thursday,No,Afternoon,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-KAL-2228,Kalutara,Matugama,Drug Offences (Heroin),11/5/2018,Sunday,No,Afternoon,Coastal Area,Well-lit,Male,18-24,2,Yes,28450,27000,95,Solved,Police
2018-GAL-2229,Galle,Karapitiya,Grievous Hurt,1/25/2018,Wednesday,No,Evening,Public Space,Poorly-lit,Male,30-34,1,No,1310,1205,92,Solved,Hospital
2018-JAF-2230,Jaffna,Kayts,Homicide,3/20/2018,Monday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-KUR-2231,Kurunegala,Wariyapola,House Breaking,5/15/2018,Monday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Solved,Police
2018-RAT-2232,Ratnapura,Pelmadulla,Property Theft,7/20/2018,Thursday,No,Morning,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-ANU-2233,Anuradhapura,Tambuttegama,Robbery,9/14/2018,Thursday,No,Evening,Commercial,Well-lit,Male,25-35,2,No,3241,2170,67,Solved,Police
2018-BAT-2234,Batticaloa,Kattankudy,Drug Offences (Heroin),11/5/2018,Sunday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,3,Yes,28450,27000,95,Solved,Police
2018-MAT-2235,Matara,Akuressa,Statutory Rape,1/30/2018,Monday,No,Afternoon,Residential,Well-lit,Female,Under 16,0,No,1250,1150,92,Solved,NGO
2018-BAD-2236,Badulla,Bandarawela,House Breaking,3/30/2018,Thursday,No,Night,Residential,Dark,Male,45-60,1,No,9012,2973,33,Solved,Police
2018-PUT-2237,Puttalam,Kalpitiya,Drug Offences (Cannabis),5/12/2018,Friday,No,Morning,Agricultural,Well-lit,Male,20-29,3,Yes,42560,40000,94,Solved,Police
2018-TRI-2238,Trincomalee,Mutur,Robbery,7/15/2018,Saturday,No,Night,Residential,Dark,Male,35-45,2,No,3241,2170,67,Solved,Police
2018-COL-2239,Colombo,Grandpass,Homicide,9/1/2018,Friday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-GAM-2240,Gampaha,Minuwangoda,Cheating/BCT,11/20/2018,Monday,No,Morning,Commercial,Well-lit,Male,60+,1,No,2510,1630,65,Solved,Self-Reported
2018-KAN-2241,Kandy,Digana,House Breaking,1/25/2018,Wednesday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Under Investigation,Police
2018-KAL-2242,Kalutara,Matugama,Property Theft,3/20/2018,Monday,No,Afternoon,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-GAL-2243,Galle,Karapitiya,Drug Offences (Heroin),5/15/2018,Monday,No,Afternoon,Coastal Area,Well-lit,Male,18-24,2,Yes,28450,27000,95,Solved,Police
2018-JAF-2244,Jaffna,Kayts,Grievous Hurt,7/20/2018,Thursday,No,Evening,Public Space,Poorly-lit,Male,30-34,1,No,1310,1205,92,Solved,Hospital
2018-KUR-2245,Kurunegala,Wariyapola,Homicide,9/14/2018,Thursday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-RAT-2246,Ratnapura,Pelmadulla,House Breaking,11/5/2018,Sunday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Solved,Police
2018-ANU-2247,Anuradhapura,Tambuttegama,Property Theft,1/10/2018,Tuesday,No,Morning,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-BAT-2248,Batticaloa,Kattankudy,Robbery,3/22/2018,Wednesday,No,Evening,Commercial,Well-lit,Male,25-35,2,No,3241,2170,67,Solved,Police
2018-MAT-2249,Matara,Akuressa,Drug Offences (Heroin),5/12/2018,Friday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,3,Yes,28450,27000,95,Solved,Police
2018-BAD-2250,Badulla,Bandarawela,Statutory Rape,7/15/2018,Saturday,No,Afternoon,Residential,Well-lit,Female,Under 16,0,No,1250,1150,92,Solved,NGO
2018-PUT-2251,Puttalam,Kalpitiya,House Breaking,9/1/2018,Friday,No,Night,Residential,Dark,Male,45-60,1,No,9012,2973,33,Solved,Police
2018-TRI-2252,Trincomalee,Mutur,Drug Offences (Cannabis),11/20/2018,Monday,No,Morning,Agricultural,Well-lit,Male,20-29,3,Yes,42560,40000,94,Solved,Police
2018-COL-2253,Colombo,Grandpass,Robbery,1/25/2018,Wednesday,No,Night,Residential,Dark,Male,35-45,2,No,3241,2170,67,Solved,Police
2018-GAM-2254,Gampaha,Minuwangoda,Homicide,3/20/2018,Monday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-KAN-2255,Kandy,Digana,Cheating/BCT,5/15/2018,Monday,No,Morning,Commercial,Well-lit,Male,60+,1,No,2510,1630,65,Solved,Self-Reported
2018-KAL-2256,Kalutara,Matugama,House Breaking,7/20/2018,Thursday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Under Investigation,Police
2018-GAL-2257,Galle,Karapitiya,Property Theft,9/14/2018,Thursday,No,Afternoon,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-JAF-2258,Jaffna,Kayts,Drug Offences (Heroin),11/5/2018,Sunday,No,Afternoon,Coastal Area,Well-lit,Male,18-24,2,Yes,28450,27000,95,Solved,Police
2018-KUR-2259,Kurunegala,Wariyapola,Grievous Hurt,1/25/2018,Wednesday,No,Evening,Public Space,Poorly-lit,Male,30-34,1,No,1310,1205,92,Solved,Hospital
2018-RAT-2260,Ratnapura,Pelmadulla,Homicide,3/20/2018,Monday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-ANU-2261,Anuradhapura,Tambuttegama,House Breaking,5/15/2018,Monday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Solved,Police
2018-BAT-2262,Batticaloa,Kattankudy,Property Theft,7/20/2018,Thursday,No,Morning,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-MAT-2263,Matara,Akuressa,Robbery,9/14/2018,Thursday,No,Evening,Commercial,Well-lit,Male,25-35,2,No,3241,2170,67,Solved,Police
2018-BAD-2264,Badulla,Bandarawela,Drug Offences (Heroin),11/5/2018,Sunday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,3,Yes,28450,27000,95,Solved,Police
2018-PUT-2265,Puttalam,Kalpitiya,Statutory Rape,1/30/2018,Monday,No,Afternoon,Residential,Well-lit,Female,Under 16,0,No,1250,1150,92,Solved,NGO
2018-TRI-2266,Trincomalee,Mutur,House Breaking,3/30/2018,Thursday,No,Night,Residential,Dark,Male,45-60,1,No,9012,2973,33,Solved,Police
2018-COL-2267,Colombo,Grandpass,Drug Offences (Cannabis),5/12/2018,Friday,No,Morning,Agricultural,Well-lit,Male,20-29,3,Yes,42560,40000,94,Solved,Police
2018-GAM-2268,Gampaha,Minuwangoda,Robbery,7/15/2018,Saturday,No,Night,Residential,Dark,Male,35-45,2,No,3241,2170,67,Solved,Police
2018-KAN-2269,Kandy,Digana,Homicide,9/1/2018,Friday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-KAL-2270,Kalutara,Matugama,Cheating/BCT,11/20/2018,Monday,No,Morning,Commercial,Well-lit,Male,60+,1,No,2510,1630,65,Solved,Self-Reported
2018-GAL-2271,Galle,Karapitiya,House Breaking,1/25/2018,Wednesday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Under Investigation,Police
2018-JAF-2272,Jaffna,Kayts,Property Theft,3/20/2018,Monday,No,Afternoon,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-KUR-2273,Kurunegala,Wariyapola,Drug Offences (Heroin),5/15/2018,Monday,No,Afternoon,Coastal Area,Well-lit,Male,18-24,2,Yes,28450,27000,95,Solved,Police
2018-RAT-2274,Ratnapura,Pelmadulla,Grievous Hurt,7/20/2018,Thursday,No,Evening,Public Space,Poorly-lit,Male,30-34,1,No,1310,1205,92,Solved,Hospital
2018-ANU-2275,Anuradhapura,Tambuttegama,Homicide,9/14/2018,Thursday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-BAT-2276,Batticaloa,Kattankudy,House Breaking,11/5/2018,Sunday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Solved,Police
2018-MAT-2277,Matara,Akuressa,Property Theft,1/10/2018,Tuesday,No,Morning,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-BAD-2278,Badulla,Bandarawela,Robbery,3/22/2018,Wednesday,No,Evening,Commercial,Well-lit,Male,25-35,2,No,3241,2170,67,Solved,Police
2018-PUT-2279,Puttalam,Kalpitiya,Drug Offences (Heroin),5/12/2018,Friday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,3,Yes,28450,27000,95,Solved,Police
2018-TRI-2280,Trincomalee,Mutur,Statutory Rape,7/15/2018,Saturday,No,Afternoon,Residential,Well-lit,Female,Under 16,0,No,1250,1150,92,Solved,NGO
2018-COL-2281,Colombo,Grandpass,House Breaking,9/1/2018,Friday,No,Night,Residential,Dark,Male,45-60,1,No,9012,2973,33,Solved,Police
2018-GAM-2282,Gampaha,Minuwangoda,Drug Offences (Cannabis),11/20/2018,Monday,No,Morning,Agricultural,Well-lit,Male,20-29,3,Yes,42560,40000,94,Solved,Police
2018-KAN-2283,Kandy,Digana,Robbery,1/25/2018,Wednesday,No,Night,Residential,Dark,Male,35-45,2,No,3241,2170,67,Solved,Police
2018-KAL-2284,Kalutara,Matugama,Homicide,3/20/2018,Monday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-GAL-2285,Galle,Karapitiya,Cheating/BCT,5/15/2018,Monday,No,Morning,Commercial,Well-lit,Male,60+,1,No,2510,1630,65,Solved,Self-Reported
2018-JAF-2286,Jaffna,Kayts,House Breaking,7/20/2018,Thursday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Under Investigation,Police
2018-KUR-2287,Kurunegala,Wariyapola,Property Theft,9/14/2018,Thursday,No,Afternoon,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-RAT-2288,Ratnapura,Pelmadulla,Drug Offences (Heroin),11/5/2018,Sunday,No,Afternoon,Coastal Area,Well-lit,Male,18-24,2,Yes,28450,27000,95,Solved,Police
2018-ANU-2289,Anuradhapura,Tambuttegama,Grievous Hurt,1/25/2018,Wednesday,No,Evening,Public Space,Poorly-lit,Male,30-34,1,No,1310,1205,92,Solved,Hospital
2018-BAT-2290,Batticaloa,Kattankudy,Homicide,3/20/2018,Monday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-MAT-2291,Matara,Akuressa,House Breaking,5/15/2018,Monday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Solved,Police
2018-BAD-2292,Badulla,Bandarawela,Property Theft,7/20/2018,Thursday,No,Morning,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-PUT-2293,Puttalam,Kalpitiya,Robbery,9/14/2018,Thursday,No,Evening,Commercial,Well-lit,Male,25-35,2,No,3241,2170,67,Solved,Police
2018-TRI-2294,Trincomalee,Mutur,Drug Offences (Heroin),11/5/2018,Sunday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,3,Yes,28450,27000,95,Solved,Police
2018-COL-2295,Colombo,Grandpass,Statutory Rape,1/30/2018,Monday,No,Afternoon,Residential,Well-lit,Female,Under 16,0,No,1250,1150,92,Solved,NGO
2018-GAM-2296,Gampaha,Minuwangoda,House Breaking,3/30/2018,Thursday,No,Night,Residential,Dark,Male,45-60,1,No,9012,2973,33,Solved,Police
2018-KAN-2297,Kandy,Digana,Drug Offences (Cannabis),5/12/2018,Friday,No,Morning,Agricultural,Well-lit,Male,20-29,3,Yes,42560,40000,94,Solved,Police
2018-KAL-2298,Kalutara,Matugama,Robbery,7/15/2018,Saturday,No,Night,Residential,Dark,Male,35-45,2,No,3241,2170,67,Solved,Police
2018-GAL-2299,Galle,Karapitiya,Homicide,9/1/2018,Friday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-JAF-2300,Jaffna,Kayts,Cheating/BCT,11/20/2018,Monday,No,Morning,Commercial,Well-lit,Male,60+,1,No,2510,1630,65,Solved,Self-Reported
2018-KUR-2301,Kurunegala,Wariyapola,House Breaking,1/25/2018,Wednesday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Under Investigation,Police
2018-RAT-2302,Ratnapura,Pelmadulla,Property Theft,3/20/2018,Monday,No,Afternoon,Commercial,Well-lit,Female,25-35,1,No,6104,3300,54,Solved,Police
2018-ANU-2303,Anuradhapura,Tambuttegama,Drug Offences (Heroin),5/15/2018,Monday,No,Afternoon,Coastal Area,Well-lit,Male,18-24,2,Yes,28450,27000,95,Solved,Police
2018-BAT-2304,Batticaloa,Kattankudy,Grievous Hurt,7/20/2018,Thursday,No,Evening,Public Space,Poorly-lit,Male,30-34,1,No,1310,1205,92,Solved,Hospital
2018-MAT-2305,Matara,Akuressa,Homicide,9/14/2018,Thursday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,502,467,93,Solved,Police
2018-BAD-2306,Badulla,Bandarawela,House Breaking,11/5/2018,Sunday,No,Night,Residential,Dark,Male,45-60,0,No,9012,2973,33,Solved,Police
